time	V(n001)	V(n003)	I(R1)
6.915994964429927e-04	2.400000e+01	1.199153e+01	1.998589e+00
6.918644125168249e-04	2.400000e+01	1.198903e+01	1.998171e+00
6.928409750168249e-04	2.400000e+01	1.198840e+01	1.998066e+00
6.938175375168249e-04	2.400000e+01	1.200217e+01	2.000361e+00
6.939878893001357e-04	2.400000e+01	1.200667e+01	2.001111e+00
6.941582410834463e-04	2.400000e+01	1.201174e+01	2.001957e+00
6.943285928667571e-04	2.400000e+01	1.201739e+01	2.002898e+00
6.944989446500678e-04	2.400000e+01	1.202361e+01	2.003935e+00
6.946692964333786e-04	2.400000e+01	1.203041e+01	2.005068e+00
6.948396482166892e-04	2.400000e+01	1.203778e+01	2.006297e+00
6.950100000000000e-04	2.400000e+01	1.204573e+01	2.007621e+00
6.950186866713997e-04	2.400000e+01	1.204614e+01	2.007690e+00
6.950191642454362e-04	2.400000e+01	1.204616e+01	2.007694e+00
6.950200000000001e-04	2.400000e+01	1.204620e+01	2.007701e+00
6.953551243732076e-04	2.400000e+01	1.206032e+01	2.010053e+00
6.956902487464153e-04	2.400000e+01	1.207217e+01	2.012028e+00
6.960253731196228e-04	2.400000e+01	1.208176e+01	2.013626e+00
6.963604974928305e-04	2.400000e+01	1.208908e+01	2.014847e+00
6.966956218660380e-04	2.400000e+01	1.209415e+01	2.015692e+00
6.970307462392457e-04	2.400000e+01	1.209696e+01	2.016160e+00
6.973658706124533e-04	2.400000e+01	1.209750e+01	2.016251e+00
6.983424331124533e-04	2.400000e+01	1.209032e+01	2.015053e+00
6.985792283821028e-04	2.400000e+01	1.208663e+01	2.014438e+00
6.988160236517523e-04	2.400000e+01	1.208170e+01	2.013616e+00
6.990528189214019e-04	2.400000e+01	1.207552e+01	2.012586e+00
6.992896141910514e-04	2.400000e+01	1.206809e+01	2.011349e+00
6.995264094607009e-04	2.400000e+01	1.205942e+01	2.009904e+00
6.997632047303505e-04	2.400000e+01	1.204951e+01	2.008251e+00
7.000000000000000e-04	2.400000e+01	1.203834e+01	2.006391e+00
7.000004999999722e-04	2.400000e+01	1.203832e+01	2.006387e+00
7.000014999999165e-04	2.400000e+01	1.203827e+01	2.006379e+00
7.000034999998051e-04	2.400000e+01	1.203818e+01	2.006363e+00
7.000099999999999e-04	2.400000e+01	1.203787e+01	2.006311e+00
7.003835089155411e-04	2.400000e+01	1.202246e+01	2.003743e+00
7.007570178310821e-04	2.400000e+01	1.200977e+01	2.001628e+00
7.011305267466232e-04	2.400000e+01	1.199979e+01	1.999965e+00
7.015040356621643e-04	2.400000e+01	1.199253e+01	1.998755e+00
7.018775445777055e-04	2.400000e+01	1.198798e+01	1.997996e+00
7.022510534932465e-04	2.400000e+01	1.198614e+01	1.997691e+00
7.026245624087876e-04	2.400000e+01	1.198702e+01	1.997837e+00
7.036011249087876e-04	2.400000e+01	1.199782e+01	1.999637e+00
7.041453748175753e-04	2.400000e+01	1.201108e+01	2.001846e+00
7.050099999999999e-04	2.400000e+01	1.204578e+01	2.007630e+00
7.050186250000000e-04	2.400000e+01	1.204619e+01	2.007699e+00
7.050191250000000e-04	2.400000e+01	1.204622e+01	2.007703e+00
